,index,id,createdTime,fields_Web,fields_Original Source,fields_Owner_id,fields_Owner_email,fields_Owner_name,fields_Urban Tech Screening,fields_Sniff Test Notes,fields_Company,fields_Total Investment,fields_Number of Employees backup,fields_Number of Employees,fields_Sub-category (linked),fields_Latitude,fields_Business Address,fields_Category (linked),fields_Employees,fields_Year Founded,fields_Location,fields_Contact Email,fields_Longitude,fields_categorization notes,fields_Category,fields_Survey Sent,fields_Sub-category,fields_Metadata Sources + Notes,fields_Contact Name,fields_Position,fields_Survey Response,fields_Year Acquired or Dissolved,fields_Valuation at Acquisition,fields_Revenue/Budget,fields_Form,fields_Keywords,fields_Pre-Publish Review,fields_Social Media
10,47,rec2FaqVSeafSktPF,2022-01-05T20:22:37.000Z,https://www.verizon.com/,TechNYC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"need to ID # of jobs in urban tech in NYC (of 26,800 total in NY state)
",Verizon,,,,['rec5FjxYhSmX68bzd'],40.7138844,"140 West St, New York, NY 10007",['rece3dYUKHXpHhEkU'],500+,2000.0,Manhattan,,-74.01320079999999,,['Information Systems'],,['Information Systems: Platform'],,,,,,,,https://www.verizon.com/about/our-company/verizon-corporate-headquarters,,,
11,51,rec2falaFOdwldoV6,2022-01-07T05:00:22.000Z,https://www.foodprintgroup.com/,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"Foodprint Group works with food, hospitality and commercial office operations to embed zero waste best practices in design and operations into buildings. From reducing food and packaging waste to implementing national recycling programs to ensuring wasted materials make it into the circular economy, we put our clients on the path to resource efficiency.  
",Foodprint Group,,6,6.0,['recsZ3Zc9dgmOn2NC'],40.6789586,"35 2nd Street Brooklyn, NY, 11231",['recb7WeB0tStkTUq8'],1-10,2017.0,Brooklyn,,-73.9938596,,['Waste Systems'],,['Waste Systems: Diversion'],"linkedin		
",Christina Grace,Founder and CEO,,,,,https://www.foodprintgroup.com/contact,,,
12,61,rec31EhfIqWELnhf3,2021-11-02T18:56:10.000Z,https://www.hraadvisors.com/tech/,NYC EDC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Planning consultants with a digital masterplanning practice.
",HR&A Advisors,,,,['recCYxgacqCMvP8Nb'],40.7190756,"99 Hudson Street, 3rd Floor, New York, NY 10013",['recHuk1pvKzYmvRFG'],1-10,1976.0,Manhattan,info@hraadvisors.com,-74.0090645,,['Innovation Systems'],2022-03-02,"['Innovation Systems:  Design, Engineering, and Planning Services']","TO DO ask David Gllford when the Urban Tech & Innovation practice was founded, and approx head count <https://www.hraadvisors.com/tech/> 
",,,,,,,,,,
13,68,rec3OP0K63bJHvWUG,2022-01-21T16:18:52.000Z,https://mealco.co/,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"aggregator for inbound delivery orders for independent restaurants, funded by Commonweal
",MealCo,7500000.0,30,30.0,['recVl5jyxBBi57JrF'],40.7430664,"19 W 24th St , New York, NY 10010",['recEhjg8dnMkICv2w'],11-50,2019.0,Manhattan,,-73.9903997,,['Food Systems'],,['Food Systems: Alt-commerce'],"employment and investment from Crunchabse
",,,,,,,,,,
14,79,rec47Sp8TuAGv7k3z,2021-10-26T19:35:14.000Z,https://brooklynnavyyard.org/,NYC EDC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"""The Brooklyn Navy Yard Development Corporation (BNYDC) is a not-for-profit corporation that serves as the real estate developer and property manager of the Yard on behalf of its owner, the City of New York""
",Brooklyn Navy Yard Development Corp,,,,['recVfx2URziaUpqz4'],40.6985551,"141 Flushing Avenue, Suite 801, Brooklyn, NY 11205",['recRDZqf1tuLAXPKP'],101-250,1966.0,Brooklyn,info@bnydc.org,-73.9712029,,['Civic Systems'],2022-03-01,['Civic Systems: Living Labs'],"adjust for urban tech staff? or ok to say that these jobs are all related to urban tech
",,,,,,,,,,
15,125,rec6MuA5e0XQhOfpJ,2021-11-02T02:32:15.000Z,https://solarkal.com/,NYC EDC,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"SolarKal is the largest B2B solar energy marketplace in the US, connecting organizations to solar providers who compete for their business.
",SolarKal,1500000.0,18,18.0,['recDZbMMMp5QJXXpQ'],40.71097169999999,"222 Broadway  21st Floor, New York, NY 10038",['recoxnv8QKuu7vlwx'],11-50,2016.0,Manhattan,Info@SolarKal.com,-74.0084072,,['Energy Systems'],2022-03-02,['Energy Systems: Renewables'],"Employee range and count: LinkedIn. Funding: Crunchbase.
",,,"YOu can correct the amount raised to $1.5M
---
It will be published on our website. We pulled all of this information from public sources. If you want to correct any of it, please let me know.

> On Mar 2, 2022, at 11:01 AM, SolarKal Admin <[info@solarkal.com](mailto:info@solarkal.com)> wrote:
> 
> Hello and thanks for reaching out. Where will this be published? We're a private company and prefer to keep our information confidential. 

",,,,,"Solar Access, Energy Marketplace",,
16,132,rec6iZZJAXwjPZM7R,2022-01-05T20:22:37.000Z,https://www.uber.com/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,,Uber,,,,['recXHKdGEiWcRgmHo'],40.7111628," 175 Greenwich St, New York, 10007, US ",['receyB6jWwnjSbV8a'],500+,2009.0,Manhattan,,-74.0120886,,['Mobility Systems'],,['Mobility Systems:  Shared mobility'],"Investment set to zero to reflect this is branch office.

",,,,,,,,,['Verify jobs #'],
17,141,rec7M7UfC8usUom6Q,2021-10-26T19:57:41.000Z,https://farmshelf.com/,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"Developer of small-scale indoor farming equipment. Farmshelf enables anyone to grow food where they live, work, and eat by providing the hardware and expertise.
",Farmshelf,10800000.0,25,25.0,['rec7zrOknjV6JR9yL'],40.6982973,"63 Flushing Ave Bldg. 128, Brooklyn, NY 11205",['recEhjg8dnMkICv2w'],11-50,2016.0,Brooklyn,grow@farmshelf.com,-73.97423599999999,,['Food Systems'],2022-03-02,['Food Systems: Urban/Indoor Farming'],"crunchbase	
",,,,,,,,,,
18,142,rec7PUu5RcfvxP0wF,2022-01-05T20:22:37.000Z,https://mealpal.com/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Company providing reduced-price meals from local restaurants as part of a subscription service.
",MealPal,35000000.0,,,['recVl5jyxBBi57JrF'],40.7451715,"45 W 27th St, New York, 10001, US",['recEhjg8dnMkICv2w'],101-250,2016.0,Manhattan,hello@mealpal.com,-73.9900275,,['Food Systems'],2022-03-02,['Food Systems: Alt-commerce'],"Crunchbase, Linkedin
",,,,,,,,,,
19,147,rec7WOOex3jhKCE5G,2022-01-05T20:22:37.000Z,https://www.ideo.com/ ,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Consulting firm focused on a broad array of topics including energy, food, etc.
",IDEO,,,,['recCYxgacqCMvP8Nb'],40.7291207,"395 Hudson Street, New York, NY, 10014",['recHuk1pvKzYmvRFG'],101-250,1978.0,Manhattan,,-74.0077944,,['Innovation Systems'],,"['Innovation Systems:  Design, Engineering, and Planning Services']","estimate based on total headcount of about 700, NYC is their 2nd main office
",,,,,,,https://www.ideo.com/contact/media-inquiry,,,
20,153,rec7oBZX0JfgcpGBe,2022-01-05T20:22:37.000Z,https://www.marqii.com/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Company providing online business tools for restaurants
",Marqii,1100000.0,,,['recVl5jyxBBi57JrF'],40.6691462,"247 11th St, Brooklyn, NY 11215",['recEhjg8dnMkICv2w'],11-50,2016.0,Brooklyn,info@marqii.com,-73.9893503,,['Food Systems'],2022-03-02,['Food Systems: Alt-commerce'],,,,,,,,,,,
21,156,rec7zH82UvPN5h48X,2021-10-26T20:37:19.000Z,https://temboo.com/,NYC EDC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"We're Temboo, the only no-code platform for environmental engagement. We enable anyone to access and contribute to environmental data, building more empowered communities. Capture real-time data on soil, air, and water quality. Monitor your environment with a wide array of sensors including soil moisture, water flow, temperature, air quality, humidity, PM2.5-10, turbidity, and more.
",Temboo,,,,,40.7185974," 104 Franklin St., New York, New York 10013, US ",['recqVXmif5koh0T0u'],11-50,2012.0,Manhattan,,-74.00561379999999,,['Natural Systems'],,,,Cormac Driver,Head of Product Engineering,,,,,,,,https://www.linkedin.com/in/cormacdriver/
22,158,rec82pqJbAC3ttnMk,2022-01-05T20:22:37.000Z,https://www.dronegrafix.com/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Company using drones for facade inspection and other construction monitoring applications
",Dronegrafix,4000000.0,,,['rec1HjG8ErJDBzk43'],40.7762025,"114 W 70th St, New York City, New York, 10023",['recdgZhrJxyjqLAb9'],11-50,2019.0,Manhattan,info@dronegrafix.com,-73.98040879999999,,['Construction Systems'],2022-03-02,['Construction Systems: Construction Management'],"Can't find number of employees. Seems kinda dead, very difficult to find any info on the company. Not on LinkedIn/Crunchbase, Twitter inactive. 
",,,,,,,,,,
23,159,rec83qh2xxux2ZKmx,2022-01-05T20:22:37.000Z,https://wiredscore.com/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Company providing a standard metric for the digital connectivity level of buildings
",WiredScore,9000000.0,,,['recXTrODcFXkbucO3'],40.7263597,"155 Wooster St Level 2, New York, NY 10012, United States",['recdgZhrJxyjqLAb9'],101-250,2013.0,Manhattan,info@wiredscore.com,-73.9994851,,['Building Systems'],2022-03-02,['Building Systems: Property Management'],"Crunchbase, Company website
",,,,,,,,,,
24,165,rec8N7WfkYxc5KUkp,2022-01-05T20:22:37.000Z,https://www.blackstone.com/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Large-scale private equity firm investing in many areas including real estate and infrastructure.
",Blackstone,,,,['rec9YdIfEpeflVrvZ'],40.7579332,"345 Park Ave, New York, NY 10154, US",['recHuk1pvKzYmvRFG'],251-500,1985.0,Manhattan,BlackstoneShareholderRelations@Blackstone.com,-73.9722189,,['Innovation Systems'],2022-03-02,['Innovation Systems: Investing'],,,,,,,,,,,
25,166,rec8OeqUPTEguCyjv,2022-01-05T20:22:37.000Z,https://convene.com/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Coworking company that has recently pivoted to specializing in hybrid events.
",Convene,280500000.0,,,['recVC3ZXCuU3trkwt'],40.7080156,"101 Greenwich St, New York, 10006, US",['rec5CKA579ehIVo7b'],500+,2009.0,Manhattan,marketing@convene.com,-74.0132392,,['Labor Systems'],2022-03-02,['Labor Systems: Hybrid Solutions'],,,,,,,,,,,
26,171,rec8YDLnVQzmEHJbQ,2021-10-26T16:03:16.000Z,https://www.smartenspaces.com,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Enabling companies to create hybrid office environments
",Smarten Spaces,12000000.0,88,88.0,['recVC3ZXCuU3trkwt'],40.75365730000001,"335 Madison Ave, 4th Floor, New York, NY, 10017",['rec5CKA579ehIVo7b'],1-10,2017.0,Manhattan,business@smartenspaces.com,-73.9782445,use AI to help companies become hybrid workplace,['Labor Systems'],2022-03-01,['Labor Systems: Hybrid Solutions'],"AT reduced employment to 1-10 as they are based at incubator, this is likely a small branch office
",,,,,,,,,,
27,175,rec8jYHPi23aZkk2v,2021-10-19T18:49:04.000Z,https://contextere.com/,,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Provides analytics for on-site worker performance.
",Contextere,2400000.0,11,11.0,['rec1HjG8ErJDBzk43'],40.75365730000001,"335 Madison Ave, 4th Floor, New York, NY",['recdgZhrJxyjqLAb9'],11-50,2015.0,Manhattan,info@contextere.com,-73.9782445,,['Construction Systems'],2022-03-01,['Construction Systems: Construction Management'],,,,,,,,,Construction Worker Analytics,,
28,184,rec92pIi49KAKpQhP,2021-10-26T19:51:22.000Z,https://www.edntech.com,,usrirgB6rl9ulQW3Z,pa293@cornell.edu,Preksha Agarwal,Passed,"ēdn makes smart garden technology. Their mission is to create products that enable everyone to grow fresh herbs, vegetables, and flowers at the push of a button.
","Edn, Inc",1500000.0,14,14.0,['rec7zrOknjV6JR9yL'],40.69961300000001,"630 Flushing Ave., Brooklyn, NY 11206",['recEhjg8dnMkICv2w'],11-50,2016.0,Manhattan,support@edntech.com,-73.94792559999999,,['Food Systems'],2022-03-02,['Food Systems: Urban/Indoor Farming'],"crunchbase

",,,,,,,,,,
29,185,rec958k64V4J0kFxt,2021-11-02T02:30:37.000Z,www.transittechlab.org,NYC EDC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"The Transit Tech Lab is an accelerator program for public transportation solutions. 
",Transit Tech Lab,,,,['recg3IwW4njNc0Qdp'],40.7033758,"One Battery Park Plaza, 5th Floor New York, NY 10004",['recHuk1pvKzYmvRFG'],1-10,2018.0,Manhattan,news@transitinnovation.org,-74.0138065,,['Innovation Systems'],2022-03-02,['Innovation Systems: Accelerators & Incubators'],"looks like just 3 permanent staff <https://transitinnovation.org/about--2018> launch https://transitinnovation.org/mta-and-business-leaders-launch-transit-tech-lab
",,,,,,,,"Government, Public Transportation, Innovation Lab",,
30,188,rec9Eyv4NpIitoZPR,2021-10-26T19:23:16.000Z,https://www.kinvolved.com,,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Developer of a social enterprise platform designed to improve student attendance and reduce chronic absenteeism.
",Kinvolved,4000000.0,17,17.0,['rec5eU9qQxFbU2jo5'],40.70548429999999,"25 Broadway, New York, 10004, US",['reca3rMDOoKHI3hPh'],11-50,2012.0,Manhattan,info@kinvolved.com,-74.0137577,,['Education Systems'],2022-03-01,['Education Systems: Connected Schools'],"Crunchbase, Linkedin
",,,,,,,,Student Management,,
31,191,rec9Pr7OxhMm9eLFV,2021-10-26T19:37:29.000Z,https://ginkgo.city/,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Former name: Citiesense
",Ginkgo,692700.0,7,7.0,['recSgHDqDvtFe7D6x'],40.7535575,"335 Madison Ave, New York, NY 10017",['recRDZqf1tuLAXPKP'],1-10,2015.0,Manhattan,,-73.9781361,use IT digital tool/platform for local orgs to manage data and maps of neighbourhoods,['Civic Systems'],,['Civic Systems: Data + Media Platforms'],,,,,,,,https://www.ginkgores.com/contact/,,,
32,192,rec9Q9730bEIv9t6D,2022-01-05T20:22:37.000Z,https://www.gend.co/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Company working with organizations, including many governmental entities, to improve their digitization.
",Generation Digital,,,,['recrfWhwjchUU2MZu'],40.7529739,"54 W 40th St, New York, New York 10018, US",['recHuk1pvKzYmvRFG'],11-50,2016.0,Manhattan,hello@gend.co,-73.9842196,,['Innovation Systems'],2022-03-02,"['Innovation Systems:  Design, Engineering, and Planning Services', 'Information Systems: Integrated Solutions']",,,,,,,,,,,
33,193,rec9RoKmWKhHsbKpR,2022-01-05T20:22:37.000Z,https://www.getcruise.com/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Autonomous vehicle manufacturer based in SF. Currently providing grocery delivery services. Subsidiary of General Motors.
",Cruise Automotive,,,,['recBK2rW9pSktPsk8'],40.7249946,"250 Hudson St, Ste 102, New York, NY, 10013-1413",['receyB6jWwnjSbV8a'],1-10,2017.0,Manhattan,,-74.0072895,,"['Mobility Systems', 'Food Systems']",,"['Mobility Systems: Vehicles', 'Food Systems:  Delivery']","investment at zero to reflect HQ location. Start date reflects announce of NYC testing, DNB says just 1 person here https://www.dnb.com/business-directory/company-profiles.cruise\_llc.252010548267c917758ab6a6355b502e.html
",,,,,,,,,"['Adjust Investment $', 'Verify jobs #']",
34,196,rec9e63n43usWSLq5,2022-01-05T20:22:37.000Z,https://www.vts.com/,TechNYC,usrzlz6zDGzjGmaEg,mfd64@cornell.edu,Max Dumas,Passed,"Commercial real estate inventory management platform
",VTS,127000000.0,300,300.0,['recXTrODcFXkbucO3'],40.7541888,"119 W 40th Street, Floor 10 New York, NY 10018",['recdgZhrJxyjqLAb9'],251-500,2012.0,Manhattan,info@vts.com,-73.98608569999999,,['Building Systems'],2022-03-02,['Building Systems: Property Management'],"Company website
",,,,,,,,,,
35,206,recA9OXBwqKie9x0p,2021-10-19T17:12:39.000Z,www.radar.io,,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"Location data infrastructure (geofencing, routing) company building location-aware app eperiences
",Radar,30500000.0,63,63.0,['recKd0KOVz9BhWPMt'],40.7040297,"20 Jay St, Brooklyn, New York 11201, US",['rece3dYUKHXpHhEkU'],51-100,2020.0,Brooklyn,support@radar.io,-73.9867893,enabling geofencing for apps,['Information Systems'],2022-03-01,['Information Systems: Location Intelligence'],,,,,,,,,,,
36,207,recAA9JVIhISxOFKV,2021-10-26T19:46:51.000Z,www.urbanenergy.nyc,NYC EDC,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Rooftop solar for multi-family buildings. 
",Urban Energy,55000000.0,13,13.0,['recDZbMMMp5QJXXpQ'],40.6992184,"116 Ainslie St Brooklyn, NY 11211",['recoxnv8QKuu7vlwx'],11-50,2017.0,Brooklyn,rwilcox@urbanenergy.nyc,-73.9739135,"for building owners, turn space into solar panels
",['Energy Systems'],2022-03-02,"['Energy Systems: Renewables', 'Energy Systems: Buildings']","Not able to find total investment $
",Russell Wilcox ,CEO,"Name: Urban Energy 
Business Address: 116 Ainslie St Brooklyn, NY 11211
Year Founded: 2017
Employment Range: 11-50
Number of Employees: 13
Total Investment: $5mm as a debt facility. $50mm in project financing. No equity investment to date. 


",,,,,"Solar, Rooftop Solar",,
37,217,recAXjq3XIYPToTyE,2021-10-19T22:02:34.000Z,https://www.powermarket.io,NYC EDC,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Marketplace wherein users can purchase a share of a solar plant/solar power contributor's power generation. They work with utilities and solar developers. Under NYC Urban Tech Hub.
",PowerMarket,0.0,25,25.0,['recDZbMMMp5QJXXpQ'],40.75365730000001,"335 Madison Avenue - 4th Floor, New York, NY 10017",['recoxnv8QKuu7vlwx'],11-50,2016.0,Brooklyn,info@powermarket.io,-73.9782445,,['Energy Systems'],2022-03-01,['Energy Systems: Renewables'],"Not able to find total investment $
",,,"All correct. Total Investment = $0
",,,,,"Community Solar, Energy Marketplace",,
38,237,recBZzG29SYM0jfTY,2022-01-05T20:22:37.000Z,motivateco.com,TechNYC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"citibike (acquired by Lyft)
",Motivate,,,,['recXHKdGEiWcRgmHo'],40.72878,"335 West St, New York, NY 10016",['receyB6jWwnjSbV8a'],500+,2009.0,Manhattan,info@motivateco.com,-74.01200399999999,,['Mobility Systems'],2022-03-02,['Mobility Systems:  Shared mobility'],,,,,,,,,,,
39,244,recBxCiewwbhquACM,2021-10-26T20:42:58.000Z,https://www.logcheck.com/,TechNYC,usruYurWuYKJoW6LE,jjl295@cornell.edu,Jenny Liu,Passed,"Logistics app that tracks building maintenance and inspections
",LogCheck,3300000.0,,,['rec3hVUb0uifxVbD5'],40.7530803,"1400 Broadway, Ste. 2202 New York, NY 10018",['recdgZhrJxyjqLAb9'],11-50,2012.0,Manhattan,info@logcheck.com,-73.98702399999999,Logistics app that tracks building maintenance and inspections,['Building Systems'],2022-03-02,['Building Systems: Facilities Management'],"acquired by BuildingEngines
",,,,,,,,"Building Maintenance, Building Management, Tracker App",,
40,245,recBzIk8JaN1qV9tl,2021-10-19T16:04:25.000Z,https://www.urbanumbrella.com/,,usrCxpuT0RoHLuwkR,ek542@cornell.edu,Eesha Khanna,Passed,"Company focused on making visually appealing scaffolding for commercial construction.
",Urban Umbrella,22500000.0,21,21.0,['recs4pTBrGCE4AjJZ'],40.7189577,"20 Harrison St., Apt 3, New York, NY, 10013-2899",['recdgZhrJxyjqLAb9'],11-50,2016.0,Manhattan,bk@urbanumbrella.com,-74.0097914,,['Construction Systems'],2022-03-01,['Construction Systems: Fabrication'],,Benjamin Krall,CEO,,,,3320000.0,,Pretty/Functional Scaffolding,,
41,249,recC3C2cMFICf0iF0,2022-01-05T20:22:37.000Z,https://www.tarform.com/,TechNYC,usr9BPdDIhuQuzTkj,atownsend@cornell.edu,Anthony Townsend,Passed,"electric motorcycles!
",Tarform Motorcycles,,,,['recBK2rW9pSktPsk8'],40.6972175,"10 Grand Ave, Brooklyn, NY 11205",['receyB6jWwnjSbV8a'],1-10,2016.0,Brooklyn,info@tarform.com,-73.96504999999999,,['Mobility Systems'],2022-03-02,['Mobility Systems: Vehicles'],,,,,,,,,EV,,
